,Gold True,Gold False,Sunspot True,Sunspot False,DJI True,DJI False
0,0.006281860187659157,0.008402434547382286,0.0064322279024774205,0.009207316895675492,0.0066673478813565985,0.010616319914284767
1,0.006368547959251468,0.010955857445814487,0.006221789742536603,0.010683240465993726,0.0061759882447366575,0.010537185332232926
2,0.00616192390470132,0.009760067350618138,0.006191629284922556,0.010086271796529645,0.00628483073636824,0.01199863167639057
3,0.006012433693755124,0.010679147055737777,0.006008471555888413,0.009554583658701135,0.006699276137399194,0.009185259633215561
4,0.006131447869530737,0.008571517874337091,0.006474217238598087,0.00957933597635362,0.006189545241552141,0.009627396580031413
5,0.006175650372478509,0.009309842494041633,0.006220130220193356,0.011380458997439405,0.006321471553548724,0.009520075232176533
6,0.006010911482623397,0.010346019662059803,0.006132713666922147,0.009509469098372456,0.006276177780663727,0.01093317063965858
7,0.0063524099402347,0.010196111299884479,0.0063982217100386285,0.008725338488559676,0.005917947192231843,0.009070370796330114
8,0.006213918784244399,0.010595254181396271,0.0065620036182221795,0.00846633462955116,0.006405518060470365,0.010250394459669285
9,0.005987868394392677,0.008768964290863915,0.006546282160315146,0.014954677256915494,0.0069187521480824415,0.011010137751283027
10,0.006269125983376909,0.011672447778013299,0.006945948009329294,0.010231465492085345,0.0066740852252448355,0.01093039204820924
11,0.00720103844753085,0.009436490898006118,0.005959923057495779,0.010110432798325075,0.006729473520978565,0.010281020547284891
12,0.006429700538194925,0.009383420824397184,0.00636520685595467,0.009892855178663673,0.006609861552388611,0.01058579990516991
13,0.0063461964335128854,0.007237151838139528,0.00592624030151823,0.011678221581158244,0.006093394336369939,0.009004272438692265
14,0.005880919558065441,0.01054100042223168,0.006601275669978608,0.008050750648044712,0.0059432534137188004,0.010850026942717826
15,0.0061425064975998665,0.010580370222131168,0.006773727576517364,0.008598616904789289,0.006330199155826118,0.008870624234456587
16,0.0062515316361303995,0.012784916799818443,0.006050788768403265,0.008600455251502442,0.006578064465477396,0.008685752253002645
17,0.007202270036436213,0.01070732267515093,0.0062982466809525005,0.00853957080766877,0.0061389514418449375,0.011113192244618342
18,0.006517294078385361,0.008201074355510565,0.006312248398316884,0.009362699963509668,0.006045330853667343,0.009493029674629902
19,0.006405863363261671,0.009967703332052514,0.006442403089550858,0.009566068840082508,0.006123903029599731,0.008984822901125386
20,0.006444764500340366,0.011432218365309988,0.006476720076029231,0.010446797648985618,0.006218111481146391,0.010749800479311712
21,0.006098601128478074,0.011210261445324478,0.006399256609791688,0.011369847161636757,0.006061098585775308,0.00895321147336841
22,0.0065366085852165785,0.011363245119859535,0.006385448473129834,0.01013079787986387,0.00664523014556296,0.008220076451399742
23,0.006626663800357957,0.009156165339832116,0.006517325680165498,0.008944688475144428,0.006079286342863647,0.008894515346630013
24,0.0062881858274243495,0.008202845735793713,0.006723011219620752,0.010152836792926256,0.006376511955340166,0.008804460226756962
25,0.006252069723701808,0.011168157214854505,0.006000914165411052,0.011232929671886414,0.006423245965629267,0.010385187406013225
26,0.0059896352376917475,0.008636088188579588,0.006117009334218422,0.008624733755839213,0.006809489411914235,0.008820223637223849
27,0.005875705768992732,0.01265436073769026,0.006356002221046513,0.00962166660699095,0.0064423338344110305,0.010076099484590276
28,0.006351278014206519,0.009147485409773032,0.006617024908526949,0.010950304155789443,0.0061538108425405365,0.009926820418137553
29,0.006392093565880512,0.010912262120251714,0.006090372242344144,0.010939345151936394,0.0063488767160054015,0.010319418154099806
